reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
it was named for judson lamoure a state legislator	who was named for judson or moore a state legislator	0.3333	0.6667	0.0013	0.9036	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	244	it was named for judson lamoure a state legislator	who was named for judson or moore a state legislator	4915	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5903417825361984	weak_overlap	0.35714285714285715	0.5	10397	common_voice_en_20258167.mp3	34c92bb27b012623e85e0b857b4fce20e7dad52d82aa51af1aa680387d26c240	It was named for H. J. Jerauld, a legislator.
indeed the scene was very beautiful	the following year he was promoted to the general manager	1.5	-0.5	0.0416	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	245	indeed the scene was very beautiful	the following year he was promoted to the general manager	4916	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6528948679237441	strong_overlap	0.5833333333333334	0.7777777777777778	113521	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	The following year he was promoted to the rank of lieutenant.
close all windows and logout	close all windows and log out	0.4	0.6	0.0055	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	249	close all windows and logout	close all windows and log out	4917	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.33980810170691034	novel_or_generic	0.13333333333333333	0.3333333333333333	27339	common_voice_en_36772195.mp3	cb43ba527ce00844df4ab6adc90a9bad6002e59eac299f3a20d6436f86774b69	Devices can automatically connect and log into public Xfinity WiFi hotspots.
i ll go right after it	i will go right after it	0.1667	0.8333	0.0081	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	270	i ll go right after it	i will go right after it	4918	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.44438744534373764	novel_or_generic	0.25	0.3333333333333333	83357	common_voice_en_25186406.mp3	8cd10557c7877ed804e590200e53f0be52873aac23b418ac494fff128cc07bfd	Who will go first?
some storms are worth the wreckage	some stones are worth the wreckage	0.1667	0.8333	0.0008	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	279	some storms are worth the wreckage	some stones are worth the wreckage	4919	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.43157801750285874	novel_or_generic	0.2222222222222222	0.3333333333333333	33009	common_voice_en_23178001.mp3	6844bd84ce8509ad7486f71e51da6eba6e9254570e0ebe22700a7dd7b3fead38	It was worth the trouble.
his first trainers was vitaliy khmelnytskyi	his first trips were with litilinski	0.6667	0.3333	0.0002	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	304	his first trainers was vitaliy khmelnytskyi	his first trips were with litilinski	4920	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3355673068916538	novel_or_generic	0.2222222222222222	0.3333333333333333	102659	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	It is his first award.
morse found fame relatively late in life	moores found fame relatively late in life	0.1429	0.8571	0.0031	0.9113	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	306	morse found fame relatively late in life	moores found fame relatively late in life	4921	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5865536415586575	weak_overlap	0.2727272727272727	0.42857142857142855	39239	common_voice_en_19814062.mp3	25af16a2c01e00018c9799cce735345b7e49ab1d41e989a046cbe11447c4f49b	Forbes became a motorcyclist late in life.
like an old fire horse	like a note for a horse	0.8	0.2	0.004	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	308	like an old fire horse	like a note for a horse	4922	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.614687661492624	weak_overlap	0.42857142857142855	0.6	25814	common_voice_en_649461.mp3	99ebba85ee592edb6e1a96566779b7910963fd703b7e5f653b7fb38f01a9a30d	A horse, a horse! My kingdom for a horse!
originally the finale for the sixth season was promoted as a cliff hanger	originally the finale for the sixth season was promoted as a cliffhanger	0.1538	0.8462	0.0135	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	312	originally the finale for the sixth season was promoted as a cliff hanger	originally the finale for the sixth season was promoted as a cliffhanger	4923	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.347450272478643	novel_or_generic	0.2222222222222222	0.36363636363636365	15133	common_voice_en_23924699.mp3	7961adf52e09922195f187a0a078b60b641280e65225e06a1872d4b8a4ced495	For the sixth season, Margaret Cho and NeNe Leakes joined the panel.
i notice you still remember it	i know she s blue she doesn t remember it	1.1667	-0.1667	0.0028	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	313	i notice you still remember it	i know she s blue she doesn t remember it	4924	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.510418777811531	weak_overlap	0.3	0.3333333333333333	67566	common_voice_en_38747326.mp3	de6f5e9329c5d2c2a78e2f69533571324be73131251632f9c3ac7eda57394728	I know she is.
pindari river later joins alaknanda river at karnaprayag	pindari river later joins laknanda river at karnapriyag	0.25	0.75	0.0014	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	324	pindari river later joins alaknanda river at karnaprayag	pindari river later joins laknanda river at karnapriyag	4925	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.49813993763030573	weak_overlap	0.25	0.42857142857142855	3946	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	Licking Creek joins the Clarion River at Callensburg.
near the beachouse is a large modern playground	near the beach house is a large modern playground	0.25	0.75	0.0057	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	355	near the beachouse is a large modern playground	near the beach house is a large modern playground	4926	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.2834670368043084	novel_or_generic	0.16666666666666666	0.3333333333333333	103312	common_voice_en_24387902.mp3	8048a1b85b59ff504e94db06cb1afa45d56eb3846d4834a0e40d5358110fe7ac	There are toilet facilities near the beach and lifeguard cover in the summer.
and it s a six minute video	and it is a six minute video	0.1429	0.8571	0.0095	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	360	and it s a six minute video	and it is a six minute video	4927	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.36343830235131425	novel_or_generic	0.2857142857142857	0.5714285714285714	45950	common_voice_en_27647100.mp3	b12fc5b3c7febbe7937d373d3f6c45b5234b57001fec2c11cd21a84bbd9b68b6	Its lumber is a softwood, and it is harvested as a hem fir.
also at allen park is the relocated tom collins house	also with allen park is the relocated tom hollins house	0.2	0.8	0.0015	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	365	also at allen park is the relocated tom collins house	also with allen park is the relocated tom hollins house	4928	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.37296277749069984	novel_or_generic	0.18181818181818182	0.2	31999	common_voice_en_27227997.mp3	a5f20febcae8815421d87fb9ae660477af90c8901586b20143f2bf5032e11050	Park is trilingual.
burstein s sister karen burstein was a new york state senator and judge	berstin s sister karen berstin was a new york state senator and judge	0.1538	0.8462	0.004	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	378	burstein s sister karen burstein was a new york state senator and judge	berstin s sister karen berstin was a new york state senator and judge	4929	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6300072296321803	weak_overlap	0.23529411764705882	0.3333333333333333	22344	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	Patty Ritchie, New York State Senator - raised in DePeyster.
it s not dylan	it s not dilang	0.25	0.75	0.0001	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	379	it s not dylan	it s not dilang	4930	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.6767112467224828	strong_overlap	0.14285714285714285	0.25	115308	common_voice_en_18634452.mp3	a0830ffb4847da452a80895682f1008da48da836e0cfa80b5047237c3153612b	It's not routine practice.
blackmar life of chas	like mine life of chess	0.75	0.25	0.0002	0.9699	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	389	blackmar life of chas	like mine life of chess	4931	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.6283631920367441	weak_overlap	0.3333333333333333	0.4	31228	common_voice_en_30608471.mp3	2a964bb57b1e703142afdc91f132a95d267e0c10e45f49514d75f49d1b7e65e0	Life of Agony
vitti s made only two english language films	wittes made only two english language films	0.25	0.75	0.0015	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	392	vitti s made only two english language films	wittes made only two english language films	4932	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.39657490343937674	novel_or_generic	0.17647058823529413	0.42857142857142855	83957	common_voice_en_35217631.mp3	c5cf8a41f92fd6006cdae735baeb6790de9f11d4d1797b7bdd0ab87a123ebf66	The Academy Awards have also nominated a number of non-English-language films.
charly was now alone	charlie was now alone	0.25	0.75	0.0031	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	393	charly was now alone	charlie was now alone	4933	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.38414039238089126	novel_or_generic	0.25	0.5	53877	common_voice_en_19737749.mp3	21ee83e8cea6a2887e6602bf6b2038bc3d04d56edd5302082165ac0b323e4131	Paul was now pale with weariness.
oh what is it	wow what is it	0.25	0.75	0.0148	0.9348	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	397	oh what is it	wow what is it	4934	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	1.0	exact_or_template_copy	0.6	0.75	98593	common_voice_en_39334486.mp3	e1e3eb6f961f4676e761ce6e75c2ff7ea571d8fd48929ef7089205cd288fce0d	What is it, deary?
japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	0.0	1.0	0.0138	1.0	0	0.8679	0.8754	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	399	japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	4935	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3153355166090557	novel_or_generic	0.08695652173913043	0.18181818181818182	62230	common_voice_en_40148391.mp3	e99e913e07b88ae628d7e12800d55f8535f9a0753751bf42df034c0b0f6307fc	The United States has possessed a stockpile of chemical weapons since World War One.
further there is no mention of the comet in chinese literature of the time	further there is no mention of the comet in chinese literature of the time	0.0	1.0	0.0112	1.0	0	0.8679	0.8754	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	413	further there is no mention of the comet in chinese literature of the time	further there is no mention of the comet in chinese literature of the time	4936	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.5688015509123391	weak_overlap	0.29411764705882354	0.4166666666666667	53730	common_voice_en_36743646.mp3	cb16e9eefc885130c52c23c7a4fda712070b88cc2d152f5cc7ffd99a65f292a6	There is no mention of who should perform this function.
we ve got to walk up to the tower	we used to walk up to the tower	0.2222	0.7778	0.0244	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	421	we ve got to walk up to the tower	we used to walk up to the tower	4937	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3971378003261701	novel_or_generic	0.21428571428571427	0.42857142857142855	76398	common_voice_en_22435567.mp3	609ed0aca6d21596df62bd42e195663b55d2da8edcc085400d4d60ebad478892	"He would walk up to ball and ""just do it""."
unlike most armadillos they are not fossorial but will use abandoned giant anteater burrows	and like most armadillos they are not fossorial but will use abandoned giant and inner burrows	0.2857	0.7143	0.0076	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	434	unlike most armadillos they are not fossorial but will use abandoned giant anteater burrows	and like most armadillos they are not fossorial but will use abandoned giant and inner burrows	4938	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.32267605841975067	novel_or_generic	0.17647058823529413	0.2	119632	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	They are not listed here.
have you met catherine	have you met kathryn	0.25	0.75	0.0041	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	435	have you met catherine	have you met kathryn	4939	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5566844356891225	weak_overlap	0.3333333333333333	0.5	48532	common_voice_en_25187423.mp3	8ce850ec8b86ce99a5bdd53d9a3f8465e5e7f9945bce5829ce94ba7fc674b9e5	Have you a study?
katsande and her son were accused of voter intimidation	kat sand and her son were accused of voter intimidation	0.2222	0.7778	0.0038	0.9455	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	443	katsande and her son were accused of voter intimidation	kat sand and her son were accused of voter intimidation	4940	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3250377108333602	novel_or_generic	0.1875	0.3	100346	common_voice_en_20069495.mp3	2eec5af93d254980d827e5e35d39a76f16958274215519c2b6831b19a140dbc3	The men sacrificed were accused of eating tabu coconuts.
the instruments have names like exhaustaphone tank bass doorimba tube flute and percarsion	the instruments have names like stautophon tankbax dorimba tuba flute and percasion	0.4615	0.5385	0.0008	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	445	the instruments have names like exhaustaphone tank bass doorimba tube flute and percarsion	the instruments have names like stautophon tankbax dorimba tuba flute and percasion	4941	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.3376278281590587	novel_or_generic	0.125	0.16666666666666666	51388	common_voice_en_23591839.mp3	6d2f088abd45969440b16a5ceaaf9339aa2b66fe8a11345a9c50705bdc017f62	It would sound like a flute.
the oldest superstring theory containing open strings was type one string theory	the oldest stupid string theory contained open strings was taught one string theory	0.3333	0.6667	0.0003	0.2352	0	0.8679	0.8754	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	465	the oldest superstring theory containing open strings was type one string theory	the oldest stupid string theory contained open strings was taught one string theory	4942	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.2700247610236075	novel_or_generic	0.11764705882352941	0.18181818181818182	57982	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	She was taught ventriloquism by John W. Cooper.
dicastillo is a village in navarra	de castillo is a village in navarra	0.3333	0.6667	0.0018	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	468	dicastillo is a village in navarra	de castillo is a village in navarra	4943	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5473141795712668	weak_overlap	0.36363636363636365	0.5714285714285714	9077	common_voice_en_29111857.mp3	bf81615611d3ab55fe1e8bf1e277fb71dc6d91e3e1db6e0ba76e1b472072d583	Salvador Do Mundo is a village in Goa.
except from the last two the other villages had been physically integrated into laredo	except from the last two the other religions had been physically integrated into the rizv	0.2143	0.7857	0.0056	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	471	except from the last two the other villages had been physically integrated into laredo	except from the last two the other religions had been physically integrated into the rizv	4944	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.3374267570495064	novel_or_generic	0.14285714285714285	0.23076923076923078	79494	common_voice_en_37979287.mp3	d7250039dfe8dc9b816f2ad786f3ce6c0fe092261ee87ba06aa49dbda3546cdb	"The last two variations mean ""snail"" or a ""spiral"" in Spanish."
perhaps you should just grow sea monkeys	perhaps we should just go and see roger	0.7143	0.2857	0.0098	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	476	perhaps you should just grow sea monkeys	perhaps we should just go and see roger	4945	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.5520090146297648	weak_overlap	0.21428571428571427	0.375	30382	common_voice_en_25348051.mp3	90eb1027dfb2df95752824542eafe2828ed4c87a698f896852c79e215fc9c121	Go and see Othello; there's a tragedy for you.
to err is human to forgive divine	to err is fun to forgive divine	0.1429	0.8571	0.0003	0.9347	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	479	to err is human to forgive divine	to err is fun to forgive divine	4946	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4206976845213648	novel_or_generic	0.2222222222222222	0.3333333333333333	115088	common_voice_en_34894764.mp3	c3c0feae3c9afebe26f56eb206cfc883ea9dfd6dfed6360c9e6d4becdc3088d8	They're incredible fun to drive.
pran nath was born into a wealthy family in lahore in present day pakistan	rahnnach was born into a wealthy family in lahore in present day pakistan	0.1429	0.8571	0.0126	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	488	pran nath was born into a wealthy family in lahore in present day pakistan	rahnnach was born into a wealthy family in lahore in present day pakistan	4947	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5271019885528363	weak_overlap	0.375	0.5	71106	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	He was born into a wealthy and well respected family.
good bye said the boy	goodbye said the boy	0.4	0.6	0.0006	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	498	good bye said the boy	goodbye said the boy	4948	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3637220974815858	novel_or_generic	0.2857142857142857	0.5	38895	common_voice_en_36772195.mp3	cb43ba527ce00844df4ab6adc90a9bad6002e59eac299f3a20d6436f86774b69	The boy grew and prospered.
mosjoukine was officially married three times	mozdrukeen was officially married three times	0.1667	0.8333	0.0022	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	511	mosjoukine was officially married three times	mozdrukeen was officially married three times	4949	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.7722045304715561	strong_overlap	0.42857142857142855	0.5	98706	common_voice_en_26945881.mp3	9c5936fd72ec11ceec52d63eb508a68cbde4fa5b7cfd4e32e9c93b1e2a22807a	Young married three times.
but instead of being saddened he was happy	the following year he was promoted to the general manager	1.25	-0.25	0.0416	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	519	but instead of being saddened he was happy	the following year he was promoted to the general manager	4950	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6528948679237441	strong_overlap	0.5833333333333334	0.7777777777777778	113521	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	The following year he was promoted to the rank of lieutenant.
four	four four four	2.0	-1.0	0.0014	0.0	0	0.8679	0.8754	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	526	four	four four four	4951	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4124448062291284	novel_or_generic	0.14285714285714285	1.0	89436	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	Luke's Sermon contains four Beatitudes and four Woes.
the area around megali sterna consists mostly of agricultural land	the area around megalisterna consists mostly of agricultural land	0.2	0.8	0.0015	1.0	1	0.8679	0.8754	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_ru_64pct_onset_noise_amp0.5_dur0.5.tsv	ru_64pct	onset_noise_amp0.5_dur0.5	535	the area around megali sterna consists mostly of agricultural land	the area around megalisterna consists mostly of agricultural land	4952	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.45699341921009096	weak_overlap	0.21428571428571427	0.3333333333333333	116230	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	It consists mostly of covers of other musicians' songs.
